Date,Sentiment_Score,Label
2023-04-01,0.0349,neutral
2023-04-02,-0.0953,neutral
2023-04-03,0.0316,neutral
2023-04-04,0.037,neutral
2023-04-05,0.051,neutral
2023-04-06,0.1631,positive
2023-04-07,-0.029,neutral
2023-04-08,0.0148,neutral
2023-04-09,-0.0397,neutral
2023-04-10,0.0292,neutral
2023-04-11,0.0572,neutral
2023-04-12,-0.0151,neutral
2023-04-13,0.1008,positive
2023-04-14,0.1603,positive
2023-04-15,-0.0763,neutral
2023-04-16,-0.0803,neutral
2023-04-17,-0.0229,neutral
2023-04-18,-0.0883,neutral
2023-04-19,-0.0635,neutral
2023-04-20,0.0634,neutral
2023-04-21,-0.0149,neutral
2023-04-22,-0.0096,neutral
2023-04-23,-0.1867,negative
2023-04-24,-0.0422,neutral
2023-04-25,0.0062,neutral
2023-04-26,-0.0623,neutral
2023-04-27,0.0242,neutral
2023-04-28,0.0108,neutral
2023-04-29,0.0392,neutral
2023-04-30,-0.0079,neutral
2023-05-01,-0.0863,neutral
2023-05-02,-0.0838,neutral
2023-05-03,-0.086,neutral
2023-05-04,-0.0078,neutral
2023-05-05,-0.0633,neutral
2023-05-06,-0.0865,neutral
2023-05-07,-0.0992,neutral
2023-05-08,-0.0398,neutral
2023-05-09,-0.0899,neutral
2023-05-10,-0.109,negative
2023-05-11,-0.0091,neutral
2023-05-12,-0.0856,neutral
2023-05-13,-0.1009,negative
2023-05-14,-0.0862,neutral
2023-05-15,-0.0286,neutral
2023-05-16,-0.0709,neutral
2023-05-17,-0.1163,negative
2023-05-18,-0.1079,negative
2023-05-19,-0.0108,neutral
2023-05-20,-0.0119,neutral
2023-05-21,-0.0346,neutral
2023-05-22,-0.0727,neutral
2023-05-23,-0.091,neutral
2023-05-24,-0.0399,neutral
2023-05-25,-0.1359,negative
2023-05-26,-0.3099,negative
2023-05-27,-0.0876,neutral
2023-05-28,-0.0344,neutral
2023-05-29,-0.1031,negative
2023-05-30,-0.1431,negative
2023-05-31,-0.1742,negative
2023-06-01,-0.0523,neutral
2023-06-02,-0.0989,neutral
2023-06-03,-0.076,neutral
2023-06-04,-0.0687,neutral
2023-06-05,-0.159,negative
2023-06-06,-0.0392,neutral
2023-06-07,-0.3143,negative
2023-06-08,-0.0158,neutral
2023-06-09,-0.0384,neutral
2023-06-10,0.0,neutral
